"Date","Close Price"
"2015-04-15 00:00:00",223.57
"2015-04-16 00:00:00",228.11
"2015-04-17 00:00:00",222.23
"2015-04-18 00:00:00",222.84
"2015-04-19 00:00:00",221.69
"2015-04-20 00:00:00",224.31
"2015-04-21 00:00:00",235.81
"2015-04-22 00:00:00",233.92
"2015-04-23 00:00:00",235.56
"2015-04-24 00:00:00",230.79
"2015-04-25 00:00:00",225.85
"2015-04-26 00:00:00",218.81
"2015-04-27 00:00:00",228.5
"2015-04-28 00:00:00",225.68
"2015-04-29 00:00:00",225.98
"2015-04-30 00:00:00",236.57
"2015-05-01 00:00:00",232.12
"2015-05-02 00:00:00",234.9
"2015-05-03 00:00:00",240.12
"2015-05-04 00:00:00",238.77
"2015-05-05 00:00:00",236.55
"2015-05-06 00:00:00",230.05
"2015-05-07 00:00:00",237.78
"2015-05-08 00:00:00",243.39
"2015-05-09 00:00:00",240.48
"2015-05-10 00:00:00",239.63
"2015-05-11 00:00:00",241.85
"2015-05-12 00:00:00",240.99
"2015-05-13 00:00:00",235.8
"2015-05-14 00:00:00",236.74
"2015-05-15 00:00:00",237.31
"2015-05-16 00:00:00",235.73
"2015-05-17 00:00:00",236.1
"2015-05-18 00:00:00",232.87
"2015-05-19 00:00:00",231.94
"2015-05-20 00:00:00",234.25
"2015-05-21 00:00:00",235.3
"2015-05-22 00:00:00",240.52
"2015-05-23 00:00:00",239.03
"2015-05-24 00:00:00",241.19
"2015-05-25 00:00:00",237.49
"2015-05-26 00:00:00",237.33
"2015-05-27 00:00:00",237.18
"2015-05-28 00:00:00",237.47
"2015-05-29 00:00:00",237.1
"2015-05-30 00:00:00",233.29
"2015-05-31 00:00:00",230
"2015-06-01 00:00:00",223.31
"2015-06-02 00:00:00",225.75
"2015-06-03 00:00:00",225.65
"2015-06-04 00:00:00",224.37
"2015-06-05 00:00:00",225.04
"2015-06-06 00:00:00",225.68
"2015-06-07 00:00:00",223.39
"2015-06-08 00:00:00",228.65
"2015-06-09 00:00:00",229.33
"2015-06-10 00:00:00",228.95
